route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
8A,nedelja_i_praznici,Linija_8A_Smer_A_nedelja_i_praznici_T03,Železničko Naselje,0,,Linija_8A_Smer_A,0,
8A,nedelja_i_praznici,Linija_8A_Smer_A_nedelja_i_praznici_T04,Železničko Naselje,0,,Linija_8A_Smer_A,0,
8A,nedelja_i_praznici,Linija_8A_Smer_A_nedelja_i_praznici_T05,Železničko Naselje,0,,Linija_8A_Smer_A,0,
8A,nedelja_i_praznici,Linija_8A_Smer_A_nedelja_i_praznici_T06,Železničko Naselje,0,,Linija_8A_Smer_A,0,
8A,nedelja_i_praznici,Linija_8A_Smer_A_nedelja_i_praznici_T07,Železničko Naselje,0,,Linija_8A_Smer_A,0,
8A,nedelja_i_praznici,Linija_8A_Smer_A_nedelja_i_praznici_T08,Železničko Naselje,0,,Linija_8A_Smer_A,0,
8A,nedelja_i_praznici,Linija_8A_Smer_A_nedelja_i_praznici_T09,Železničko Naselje,0,,Linija_8A_Smer_A,0,
8A,nedelja_i_praznici,Linija_8A_Smer_A_nedelja_i_praznici_T10,Železničko Naselje,0,,Linija_8A_Smer_A,0,
8A,nedelja_i_praznici,Linija_8A_Smer_A_nedelja_i_praznici_T11,Železničko Naselje,0,,Linija_8A_Smer_A,0,
8A,nedelja_i_praznici,Linija_8A_Smer_A_nedelja_i_praznici_T12,Železničko Naselje,0,,Linija_8A_Smer_A,0,
8A,nedelja_i_praznici,Linija_8A_Smer_A_nedelja_i_praznici_T13,Železničko Naselje,0,,Linija_8A_Smer_A,0,
8A,nedelja_i_praznici,Linija_8A_Smer_A_nedelja_i_praznici_T14,Železničko Naselje,0,,Linija_8A_Smer_A,0,
8A,nedelja_i_praznici,Linija_8A_Smer_B_nedelja_i_praznici_T01,Lifka,1,,Linija_8A_Smer_B,0,
8A,nedelja_i_praznici,Linija_8A_Smer_B_nedelja_i_praznici_T02,Lifka,1,,Linija_8A_Smer_B,0,
8A,nedelja_i_praznici,Linija_8A_Smer_B_nedelja_i_praznici_T03,Lifka,1,,Linija_8A_Smer_B,0,
8A,nedelja_i_praznici,Linija_8A_Smer_B_nedelja_i_praznici_T04,Lifka,1,,Linija_8A_Smer_B,0,
8A,nedelja_i_praznici,Linija_8A_Smer_B_nedelja_i_praznici_T05,Lifka,1,,Linija_8A_Smer_B,0,
8A,nedelja_i_praznici,Linija_8A_Smer_B_nedelja_i_praznici_T06,Lifka,1,,Linija_8A_Smer_B,0,
8A,nedelja_i_praznici,Linija_8A_Smer_B_nedelja_i_praznici_T07,Lifka,1,,Linija_8A_Smer_B,0,
8A,nedelja_i_praznici,Linija_8A_Smer_B_nedelja_i_praznici_T08,Lifka,1,,Linija_8A_Smer_B,0,
8A,nedelja_i_praznici,Linija_8A_Smer_B_nedelja_i_praznici_T09,Lifka,1,,Linija_8A_Smer_B,0,
8A,nedelja_i_praznici,Linija_8A_Smer_B_nedelja_i_praznici_T10,Lifka,1,,Linija_8A_Smer_B,0,
8A,nedelja_i_praznici,Linija_8A_Smer_B_nedelja_i_praznici_T11,Lifka,1,,Linija_8A_Smer_B,0,
8A,nedelja_i_praznici,Linija_8A_Smer_B_nedelja_i_praznici_T12,Lifka,1,,Linija_8A_Smer_B,0,
8A,nedelja_i_praznici,Linija_8A_Smer_B_nedelja_i_praznici_T13,Lifka,1,,Linija_8A_Smer_B,0,
9,radni_dan,Linija_9_Smer_A_radni_dan_T01,Sever,0,,Linija_9_Smer_A,0,
9,radni_dan,Linija_9_Smer_A_radni_dan_T02,Sever,0,,Linija_9_Smer_A,0,
9,radni_dan,Linija_9_Smer_B_radni_dan_T01,Srpski šor,1,,Linija_9_Smer_B,0,
9,radni_dan,Linija_9_Smer_B_radni_dan_T02,Srpski šor,1,,Linija_9_Smer_B,0,
10,radni_dan,Linija_10_Smer_A_radni_dan_T01,Lifka,0,,Linija_10_Smer_A,0,
10,radni_dan,Linija_10_Smer_B_radni_dan_T01,Palić (naselje),1,,Linija_10_Smer_B,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T01,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T02,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T03,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T04,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T05,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T06,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T07,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T08,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T09,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T10,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T11,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T12,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T13,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T14,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T15,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T16,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T17,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T18,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T19,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T20,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T21,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T22,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T23,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T24,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T25,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T26,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T27,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T28,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T29,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T30,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T31,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T32,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T33,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T34,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T35,Aleksandrovo,0,,Linija_16_Smer_A,0,
