stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
48741,48741,Plate Dobrijevića 2,,46.068644,19.6797,1,,,,,0
48750,48750,Plate Dobrijevića 1,,46.067717,19.675735,1,,,,,0
48751,48751,Plate Dobrijevića 1,,46.067686,19.67536,1,,,,,0
48760,48760,Kolevka,,46.081191,19.669242,1,,,,,0
48761,48761,Kolevka,,46.081512,19.668918,1,,,,,0
48770,48770,Obdanište Ker,,46.085002,19.663617,1,,,,,0
48771,48771,Obdanište Ker,,46.084544,19.66447,1,,,,,0
48780,48780,Berber Milan,,46.087112,19.663595,1,,,,,0
48781,48781,Berber Milan,,46.086738,19.664383,1,,,,,0
48790,48790,Kersko Groblje,,46.088176,19.660183,1,,,,,0
48791,48791,Kersko Groblje,,46.088539,19.659667,1,,,,,0
48800,48800,Bife Gat,,46.090487,19.656445,1,,,,,0
48801,48801,Bife Gat,,46.090957,19.656314,1,,,,,0
48810,48810,Gubo Đar,,46.110637,19.663148,1,,,,,0
48811,48811,Gubo Đar,,46.110556,19.66324,1,,,,,0
48820,48820,Pruga Subotica,,46.114358,19.666057,1,,,,,0
48821,48821,Pruga Subotica,,46.114339,19.666193,1,,,,,0
48850,48850,Patrija,,46.099334,19.669045,1,,,,,0
48860,48860,Mali Bajmok,,46.086839,19.641901,1,,,,,0
48861,48861,Mali Bajmok,,46.086024,19.640484,1,,,,,0
48880,48880,Železničko Naselje,,46.118346,19.665293,1,,,,,0
48881,48881,Železničko Naselje,,46.118482,19.665398,1,,,,,0
51310,51310,Teslino Naselje Pijaca,,46.106832,19.688883,1,,,,,0
51311,51311,Teslino Naselje Pijaca,,46.107511,19.688591,1,,,,,0
51830,51830,Radnoti Mikloša,,46.109055,19.68753,1,,,,,0
51831,51831,Radnoti Mikloša,,46.110291,19.687195,1,,,,,0
51840,51840,Teslino Naselje,,46.113164,19.685455,1,,,,,0
51841,51841,Teslino Naselje,,46.113013,19.685551,1,,,,,0
53550,53550,Jasenovačka,,46.102693,19.634588,1,,,,,0
53551,53551,Jasenovačka,,46.102628,19.63449,1,,,,,0
62570,62570,Batinska,,46.083058,19.636555,1,,,,,0
62571,62571,Batinska,,46.083,19.636176,1,,,,,0
62580,62580,Dunkenmotoren,,46.080002,19.635676,1,,,,,0
62581,62581,Dunkenmotoren,,46.080023,19.635595,1,,,,,0
62590,62590,Calzedonia,,46.078143,19.632964,1,,,,,0
62591,62591,Calzedonia,,46.077982,19.632599,1,,,,,0
73620,73620,Ganjo Šor,,46.134503,19.635832,1,,,,,0
73621,73621,Ganjo Šor,,46.134868,19.63552,1,,,,,0
73630,73630,Široki Progon,,46.136907,19.633103,1,,,,,0
73631,73631,Široki Progon,,46.136928,19.633221,1,,,,,0
73640,73640,Višnjička,,46.122462,19.664939,1,,,,,0
73641,73641,Višnjička,,46.121111,19.664987,1,,,,,0
73650,73650,Jovana Mikića 198,,46.124833,19.664794,1,,,,,0
73651,73651,Jovana Mikića 198,,46.125789,19.664686,1,,,,,0
73660,73660,Jovana Mikića 263,,46.126896,19.664088,1,,,,,0
73661,73661,Jovana Mikića 263,,46.127371,19.664008,1,,,,,0
73670,73670,Đerđa Lukača,,46.135842,19.660045,1,,,,,0
73671,73671,Đerđa Lukača,,46.135948,19.660145,1,,,,,0
73751,73751,Marije Bursać,,46.110301,19.762341,1,,,,,0
74040,74040,Mali Bajmok - Swarovski,,46.07547,19.635762,1,,,,,0
74041,74041,Mali Bajmok - Swarovski,,46.074925,19.635694,1,,,,,0
